DOI,Image URL,Local File,Method,Status
10.1021/acscatal.5c07050,https://pubs.acs.org/cms/10.1021/acscatal.5c07050/asset/images/medium/cs5c07050_0008.gif,10-1021_acscatal-5c07050.gif,acs-figure,ok
10.1021/acscatal.5c01802,https://pubs.acs.org/cms/10.1021/acscatal.5c01802/asset/images/medium/cs5c01802_0009.gif,10-1021_acscatal-5c01802.gif,acs-figure,ok
10.1021/jacs.4c08866,https://pubs.acs.org/cms/10.1021/jacs.4c08866/asset/images/medium/ja4c08866_0010.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.4c08866/asset/images/medium/ja4c08866_0010.gif,acs-figure,ok
10.3233/FAIA240796,,,,unsupported-domain-skipped
10.3233/FAIA240796,,,,no image found
10.1021/acscatal.4c01194,https://pubs.acs.org/cms/10.1021/acscatal.4c01194/asset/images/medium/cs4c01194_0011.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acscatal.4c01194/asset/images/medium/cs4c01194_0011.gif,acs-figure,ok
10.1002/ange.202310112,https://onlinelibrary.wiley.com/cms/asset/c4eadfcf-3b05-4821-893b-7d2f7e89f77a/ange202310112-toc-0001-m.jpg?trick=1780757729081,10-1002_ange-202310112.jpg,og:image,ok
10.1021/acs.jpca.3c04779,https://pubs.acs.org/cms/10.1021/acs.jpca.3c04779/asset/images/medium/jp3c04779_0015.gif,10-1021_acs-jpca-3c04779.gif,acs-figure,ok
10.1021/acs.accounts.2c00801,https://pubs.acs.org/cms/10.1021/acs.accounts.2c00801/asset/images/medium/ar2c00801_0007.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acs.accounts.2c00801/asset/images/medium/ar2c00801_0007.gif,acs-figure,ok
10.1021/jacs.2c10975,https://pubs.acs.org/cms/10.1021/jacs.2c10975/asset/images/medium/ja2c10975_0012.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.2c10975/asset/images/medium/ja2c10975_0012.gif,acs-figure,ok
10.1021/acscatal.2c05725,https://pubs.acs.org/cms/10.1021/acscatal.2c05725/asset/images/medium/cs2c05725_0011.gif,10-1021_acscatal-2c05725.gif,acs-figure,ok
10.1016/j.isci.2022.104661,https://ars.els-cdn.com/content/image/1-s2.0-S2589004222009336-fx1.jpg,10-1016_j-isci-2022-104661.jpg,og:image,ok
10.1063/5.0084432,,,,cloudflare-skipped
10.1063/5.0084432,,,,no image found
10.1021/acs.joc.1c02222,https://pubs.acs.org/cms/10.1021/acs.joc.1c02222/asset/images/medium/jo1c02222_0014.gif,10-1021_acs-joc-1c02222.gif,acs-figure,ok
10.1021/acs.joc.1c02126,https://pubs.acs.org/cms/10.1021/acs.joc.1c02126/asset/images/medium/jo1c02126_0010.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acs.joc.1c02126/asset/images/medium/jo1c02126_0010.gif,acs-figure,ok
10.1002/ijch.202100106,,,,cloudflare-skipped
10.1002/ijch.202100106,,,,no image found
10.1021/jacs.0c06942,https://pubs.acs.org/cms/10.1021/jacs.0c06942/asset/images/medium/ja0c06942_0007.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.0c06942/asset/images/medium/ja0c06942_0007.gif,acs-figure,ok
10.1021/jacs.9b13962,https://pubs.acs.org/cms/10.1021/jacs.9b13962/asset/images/medium/ja9b13962_0009.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.9b13962/asset/images/medium/ja9b13962_0009.gif,acs-figure,ok
10.1021/jacs.0c05223,https://pubs.acs.org/cms/10.1021/jacs.0c05223/asset/images/medium/ja0c05223_0020.gif,10-1021_jacs-0c05223.gif,acs-figure,ok
10.1021/jacs.9b13537,https://pubs.acs.org/cms/10.1021/jacs.9b13537/asset/images/medium/ja9b13537_0013.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.9b13537/asset/images/medium/ja9b13537_0013.gif,acs-figure,ok
10.1021/acscatal.9b05526,https://pubs.acs.org/cms/10.1021/acscatal.9b05526/asset/images/medium/cs9b05526_0009.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acscatal.9b05526/asset/images/medium/cs9b05526_0009.gif,acs-figure,ok
10.1073/pnas.1916392117,https://www.pnas.org/cms/asset/3438c3e3-6811-44d1-a212-bc0bd3b44d61/pnas.2020.117.issue-3.largecover.png,10-1073_pnas-1916392117.png,og:image,ok
10.1021/jacs.8b11062,https://pubs.acs.org/cms/10.1021/jacs.8b11062/asset/images/medium/ja-2018-11062k_0010.gif,10-1021_jacs-8b11062.gif,acs-figure,ok
10.1021/acscatal.8b02537,https://pubs.acs.org/cms/10.1021/acscatal.8b02537/asset/images/medium/cs-2018-02537t_0010.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acscatal.8b02537/asset/images/medium/cs-2018-02537t_0010.gif,acs-figure,ok
10.1021/acscatal.8b02435,https://pubs.acs.org/cms/10.1021/acscatal.8b02435/asset/images/medium/cs-2018-02435c_0013.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acscatal.8b02435/asset/images/medium/cs-2018-02435c_0013.gif,acs-figure,ok
10.1021/jacs.5b05902,https://pubs.acs.org/cms/10.1021/jacs.5b05902/asset/images/medium/ja-2015-059023_0011.gif,10-1021_jacs-5b05902.gif,acs-figure,ok
10.1021/acscatal.5b01870,https://pubs.acs.org/cms/10.1021/acscatal.5b01870/asset/images/medium/cs-2015-01870e_0010.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acscatal.5b01870/asset/images/medium/cs-2015-01870e_0010.gif,acs-figure,ok
10.1021/cs502006x,https://pubs.acs.org/cms/10.1021/cs502006x/asset/images/medium/cs-2014-02006x_0009.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/cs502006x/asset/images/medium/cs-2014-02006x_0009.gif,acs-figure,ok
10.1002/chin.201512345,https://onlinelibrary.wiley.com/templates/jsp/_ux3/_acropolis/_pericles/images/journal-default-cover-image.png?trick=1780758062145,10-1002_chin-201512345.png,og:image,ok
10.1021/ja5076629,https://pubs.acs.org/cms/10.1021/ja5076629/asset/images/medium/ja-2014-076629_0012.gif,10-1021_ja5076629.gif,acs-figure,ok
10.1021/jo501322v,https://pubs.acs.org/cms/10.1021/jo501322v/asset/images/medium/jo-2014-01322v_0007.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jo501322v/asset/images/medium/jo-2014-01322v_0007.gif,acs-figure,ok
10.1021/ja412770h,https://pubs.acs.org/cms/10.1021/ja412770h/asset/images/medium/ja-2013-12770h_0007.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/ja412770h/asset/images/medium/ja-2013-12770h_0007.gif,acs-figure,ok
10.1002/ange.201309532,https://onlinelibrary.wiley.com/cms/asset/b94c9a80-5445-498a-b584-61053c62e810/mcontent.jpg?trick=1780758128882,10-1002_ange-201309532.jpg,og:image,ok
10.1002/chin.201108275,https://onlinelibrary.wiley.com/templates/jsp/_ux3/_acropolis/_pericles/images/journal-default-cover-image.png?trick=1780758143309,10-1002_chin-201108275.png,og:image,ok
10.1002/chin.201304197,https://onlinelibrary.wiley.com/templates/jsp/_ux3/_acropolis/_pericles/images/journal-default-cover-image.png?trick=1780758156815,10-1002_chin-201304197.png,og:image,ok
10.1002/chin.201224259,https://onlinelibrary.wiley.com/templates/jsp/_ux3/_acropolis/_pericles/images/journal-default-cover-image.png?trick=1780758167868,10-1002_chin-201224259.png,og:image,ok
10.1021/ja101913k,https://pubs.acs.org/cms/10.1021/ja101913k/asset/images/medium/ja-2010-01913k_0007.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/ja101913k/asset/images/medium/ja-2010-01913k_0007.gif,acs-figure,ok
10.1002/ange.201001588,https://onlinelibrary.wiley.com/cms/asset/96970520-7632-46cc-a8e8-5ee4c63707f6/mcontent.jpg?trick=1780758194685,download error: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/cms/asset/96970520-7632-46cc-a8e8-5ee4c63707f6/mcontent.jpg?trick=1780758194685,og:image,ok
10.1002/chin.201038263,https://onlinelibrary.wiley.com/templates/jsp/_ux3/_acropolis/_pericles/images/journal-default-cover-image.png?trick=1780758206578,download error: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/templates/jsp/_ux3/_acropolis/_pericles/images/journal-default-cover-image.png?trick=1780758206578,og:image,ok
10.1021/jo061198u,https://pubs.acs.org/cms/10.1021/jo061198u/asset/images/medium/jo061198un00001.gif,10-1021_jo061198u.gif,acs-figure,ok
10.1002/chem.200801822,https://chemistry-europe.onlinelibrary.wiley.com/cms/asset/2be7d79c-7e9a-4150-b08e-55fe66a28955/mcontent.jpg?trick=1780758232731,10-1002_chem-200801822.jpg,og:image,ok
